+====================+===================+=======================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                   |
+====================+===================+=======================================================================================+
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/compressed_decoder_i/cm_state_q_reg[1]/D                      |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_cpuctrlsts_part_csr/rdata_q_reg[6]/D                    |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[1]/D                            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[12]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[1]/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[0]/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/compressed_decoder_i/cm_state_q_reg[2]/D                      |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[1]/D                               |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[4]/D                            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_cpuctrlsts_part_csr/rdata_q_reg[7]/D                    |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[3]/D                            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[13]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[2]/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[0]/D                            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[15]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[0]/D                               |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/minstret_counter_i/g_cnt_no_dsp.counter_q_reg[0]/D        |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/mcountinhibit_q_reg[0]/D                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/mcountinhibit_q_reg[2]/D                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][12]/D            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][14]/D            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][18]/D            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][19]/D            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[27]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][7]/D             |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/gen_intermediate_val_reg[0].imd_val_q_reg[0][0]/D             |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[15]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[26]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[10]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[23]/D                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mepc_csr/rdata_q_reg[31]/D                              |
+--------------------+-------------------+---------------------------------------------------------------------------------------+
