+====================+===================+=============================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                         |
+====================+===================+=============================================================================================================+
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/compressed_decoder_i/cm_state_q_reg[1]/D                                            |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[2]/D                       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[0]/D                       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[13]/D                                                    |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/valid_q_reg[1]/D                       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[15]/D                                                    |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_dcsr_csr/rdata_q_reg[1]/D                                                     |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/instr_valid_id_q_reg/D                                                              |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/id_stage_i/branch_jump_set_done_q_reg/D                                                        |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[0]/D                                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[4]/D                                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[1]/D                                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[3]/D                                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_mstatus_csr/rdata_q_reg[2]/D                                                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/u_cpuctrlsts_part_csr/rdata_q_reg[7]/D                                          |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/g_instr_addr_nr.instr_addr_q_reg[29]/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/if_stage_i/gen_prefetch_buffer.prefetch_buffer_i/fifo_i/g_instr_addr_nr.instr_addr_q_reg[28]/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_core/cs_registers_i/mcountinhibit_q_reg[0]/D                                                        |
